"","tract","year","count","population","crimerate"
"540","003600",2019,178,3680,48.3695652173913
"541","003700",2010,184,4798,38.3493122134223
"542","003700",2011,287,4798,59.8165902459358
"543","003700",2012,226,4798,47.102959566486
"544","003700",2013,285,4798,59.3997498957899
"545","003700",2014,305,4798,63.5681533972488
"546","003700",2015,247,4798,51.4797832430179
"547","003700",2016,232,4798,48.3534806169237
"548","003700",2017,169,4798,35.2230095873281
"549","003700",2018,191,4798,39.8082534389329
"550","003700",2019,206,4798,42.9345560650271
"551","003800",2010,263,4177,62.9638496528609
"552","003800",2011,349,4177,83.552789083074
"553","003800",2012,290,4177,69.427819008858
"554","003800",2013,326,4177,78.0464448168542
"555","003800",2014,316,4177,75.6523820924108
"556","003800",2015,270,4177,64.6396935599713
"557","003800",2016,277,4177,66.3155374670816
"558","003800",2017,189,4177,45.2477854919799
"559","003800",2018,219,4177,52.42997366531
"560","003800",2019,245,4177,58.6545367488628
"561","003900",2010,165,4225,39.0532544378698
"562","003900",2011,195,4225,46.1538461538462
"563","003900",2012,173,4225,40.9467455621302
"564","003900",2013,198,4225,46.8639053254438
"565","003900",2014,181,4225,42.8402366863905
"566","003900",2015,150,4225,35.5029585798817
"567","003900",2016,152,4225,35.9763313609467
"568","003900",2017,133,4225,31.4792899408284
"569","003900",2018,127,4225,30.0591715976331
"570","003900",2019,127,4225,30.0591715976331
"571","004001",2010,140,3486,40.1606425702811
"572","004001",2011,166,3486,47.6190476190476
"573","004001",2012,147,3486,42.1686746987952
"574","004001",2013,131,3486,37.5788869764773
"575","004001",2014,160,3486,45.8978772231784
"576","004001",2015,167,3486,47.9059093516925
"577","004001",2016,162,3486,46.4716006884682
"578","004001",2017,116,3486,33.2759609868044
"579","004001",2018,112,3486,32.1285140562249
"580","004001",2019,120,3486,34.4234079173838
"581","004002",2010,207,2654,77.9954785229842
"582","004002",2011,213,2654,80.2562170308968
"583","004002",2012,227,2654,85.5312735493595
"584","004002",2013,228,2654,85.9080633006782
"585","004002",2014,215,2654,81.0097965335343
"586","004002",2015,188,2654,70.8364732479277
"587","004002",2016,206,2654,77.6186887716654
"588","004002",2017,166,2654,62.5470987189148
"589","004002",2018,124,2654,46.7219291635268
"590","004002",2019,130,2654,48.9826676714393
"591","004100",2010,99,2482,39.8871877518131
"592","004100",2011,114,2482,45.9307010475423
"593","004100",2012,137,2482,55.1974214343272
"594","004100",2013,74,2482,29.8146655922643
"595","004100",2014,100,2482,40.290088638195
"596","004100",2015,124,2482,49.9597099113618
"597","004100",2016,115,2482,46.3336019339242
"598","004100",2017,103,2482,41.4987912973409
"599","004100",2018,77,2482,31.0233682514102
"600","004100",2019,92,2482,37.0668815471394
"601","004201",2010,95,3222,29.4847920546245
"602","004201",2011,172,3222,53.382991930478
"603","004201",2012,165,3222,51.2104283054004
"604","004201",2013,159,3222,49.3482309124767
"605","004201",2014,145,3222,45.0031036623215
"606","004201",2015,134,3222,41.5890751086282
"607","004201",2016,152,3222,47.1756672873991
"608","004201",2017,121,3222,37.5543140906269
"609","004201",2018,93,3222,28.8640595903166
"610","004201",2019,97,3222,30.1055245189323
"611","004202",2010,186,2691,69.1192865105909
"612","004202",2011,197,2691,73.2069862504645
"613","004202",2012,202,2691,75.0650315867707
"614","004202",2013,177,2691,65.7748049052397
"615","004202",2014,172,2691,63.9167595689335
"616","004202",2015,181,2691,67.2612411742846
"617","004202",2016,257,2691,95.503530286139
"618","004202",2017,178,2691,66.1464139725009
"619","004202",2018,143,2691,53.1400966183575
"620","004202",2019,148,2691,54.9981419546637
"621","004300",2010,208,2963,70.1991225109686
"622","004300",2011,237,2963,79.9865001687479
"623","004300",2012,240,2963,80.9989875126561
"624","004300",2013,234,2963,78.9740128248397
"625","004300",2014,272,2963,91.7988525143436
"626","004300",2015,270,2963,91.1238609517381
"627","004300",2016,242,2963,81.6739790752616
"628","004300",2017,209,2963,70.5366182922713
"629","004300",2018,255,2963,86.0614242321971
"630","004300",2019,233,2963,78.636517043537
"631","004400",2010,628,4263,147.314098053014
"632","004400",2011,752,4263,176.401595120807
"633","004400",2012,844,4263,197.982641332395
"634","004400",2013,808,4263,189.537884119165
"635","004400",2014,824,4263,193.291109547267
